"ID";"label"
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s6 edge 128gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 1020";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s5 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s6 edge 64gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-sony xperia z5 premium";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 4 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 5s 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-htc one m8";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-htc one m9";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 635";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s4 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 6 64gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 5 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 4s 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-sony xperia c5 ultra";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 925";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-sony xperia z3";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s6 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 521";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 520";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nexus 5 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s5 mini 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s4 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nexus 6p 64gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-sony xperia z3 compact";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 4s 8gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-lg g5";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-lg g4";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 5s 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 4 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 5c 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nexus 6p 128gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s6 edge+";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 5 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-samsung galaxy s6 edge 32gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 4s 64gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-sony xperia z";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-htc one s";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 6 16gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-htc one v";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-iphone 6 plus 128gb";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-nokia lumia 900";0.0
"node48b7cb2c62f77b7d8a89458a8e3fefa5.html-htc one x";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-samsung galaxy s6 edge 128gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-nokia lumia 1020";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-samsung galaxy s6 edge 64gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-sony xperia z5 premium";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-htc one m8";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-htc one m9";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-sony xperia z5 aqua";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-samsung galaxy s4 16gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-iphone 6 64gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-iphone 4s 16gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-nexus 6p 32gb";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-sony xperia c5 ultra";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-nokia lumia 925";0.0
"nodebb2a4b92a124482eb8d10ad97e5a660.html-sony xperia z3";0.0
