node03b3c753299e86e66647c895992d2f1.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un55ju7100f---0.07142857142857142
Predicted Answer:vizio d48-d0---0.07142857142857142
Predicted Answer:samsung un60eh6003---0.07142857142857142
Predicted Answer:samsung un60ju7100---0.14285714285714285
Predicted Answer:sony xbr65x930c---0.0
Predicted Answer:samsung un50ju7100---0.07142857142857142
Predicted Answer:sony xbr65x930d---0.0
Predicted Answer:sony xbr65x950b---0.07142857142857142
Predicted Answer:vizio d43-c1---0.35714285714285715
Predicted Answer:samsung un55ju6500---0.0
Predicted Answer:gpx te1384b---0.0
Predicted Answer:sony xbr55x800b---0.0
Predicted Answer:gpx tde1380b---0.0
Predicted Answer:samsung un32eh5300---0.0
Predicted Answer:samsung un40ju6400---0.07142857142857142
Predicted Answer:lg 43uf6400---0.07142857142857142
Predicted Answer:gpx tde1384b---0.0
Predicted Answer:lg 55eg9100---0.07142857142857142
Predicted Answer:samsung un50eh5300---0.07142857142857142
Predicted Answer:samsung un65h6350---0.0
Predicted Answer:samsung un50j5200a---0.0
Predicted Answer:sony xbr65x800b---0.0
Predicted Answer:samsung un60js7000---0.0
Predicted Answer:samsung un55js8500f---0.07142857142857142
Predicted Answer:vizio d43-d2---0.14285714285714285
Predicted Answer:sony xbr65x900b---0.0
Predicted Answer:sony xbr65x900c---0.07142857142857142
Predicted Answer:samsung un48ju6400---0.07142857142857142
Predicted Answer:sony xbr65hx929---0.0
Predicted Answer:sony xbr55x850d---0.0
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.0
Predicted Answer:sony xbr55x850b---0.0
Predicted Answer:samsung un60j6200a---0.0
Predicted Answer:samsung un40es6100---0.07142857142857142
Predicted Answer:samsung un50j6300---0.0
Predicted Answer:lg 55eg9600---0.07142857142857142
Predicted Answer:sony xbr79x900b---0.07142857142857142
Predicted Answer:gpx tde1982b---0.07142857142857142
Predicted Answer:lg 65eg9600---0.07142857142857142
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.0
Predicted Answer:samsung un50js7000---0.0
Predicted Answer:sony xbr43x830c---0.07142857142857142
Predicted Answer:samsung un55hu6840---0.07142857142857142
Predicted Answer:samsung un55j6200a---0.0
Predicted Answer:samsung un40eh5300---0.07142857142857142
Predicted Answer:samsung un55hu8500---0.0
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.14285714285714285
Predicted Answer:sony xbr49x830c---0.07142857142857142
Predicted Answer:lg 49uf6400---0.07142857142857142
Predicted Answer:sony xbr65x850c---0.14285714285714285
Predicted Answer:sony xbr70x850b---0.0
Predicted Answer:lg 40lf6300---0.0
Predicted Answer:sony xbr55x900c---0.0
Predicted Answer:gpx tde3253b---0.0
Predicted Answer:samsung un65h7150---0.0
Predicted Answer:samsung un65ju7100---0.07142857142857142
Predicted Answer:vizio d50u-d1---0.14285714285714285
node078369cf6dbedfbd6a0139163278b41.html
Right Answer:accessory_sony
Predicted Answer:samsung un55ju7100f---0.2
Predicted Answer:vizio d48-d0---0.1
Predicted Answer:samsung un60eh6003---0.2
Predicted Answer:samsung un60ju7100---0.2
Predicted Answer:sony xbr65x930c---0.3
Predicted Answer:samsung un50ju7100---0.2
Predicted Answer:sony xbr65x930d---0.3
Predicted Answer:sony xbr65x950b---0.4
Predicted Answer:vizio d43-c1---0.2
Predicted Answer:samsung un55ju6500---0.1
Predicted Answer:gpx te1384b---0.1
Predicted Answer:sony xbr55x800b---0.3
Predicted Answer:gpx tde1380b---0.1
Predicted Answer:samsung un32eh5300---0.1
Predicted Answer:samsung un40ju6400---0.2
Predicted Answer:lg 43uf6400---0.2
Predicted Answer:gpx tde1384b---0.2
Predicted Answer:lg 55eg9100---0.2
Predicted Answer:samsung un50eh5300---0.2
Predicted Answer:samsung un65h6350---0.1
Predicted Answer:samsung un50j5200a---0.1
Predicted Answer:sony xbr65x800b---0.4
Predicted Answer:samsung un60js7000---0.1
Predicted Answer:samsung un55js8500f---0.2
Predicted Answer:vizio d43-d2---0.1
Predicted Answer:sony xbr65x900b---0.3
Predicted Answer:sony xbr65x900c---0.5
Predicted Answer:samsung un48ju6400---0.2
Predicted Answer:sony xbr65hx929---0.4
Predicted Answer:sony xbr55x850d---0.5
Predicted Answer:sony xbr55x850c---0.2
Predicted Answer:samsung un55js9000f---0.1
Predicted Answer:sony xbr55x850b---0.2
Predicted Answer:samsung un60j6200a---0.1
Predicted Answer:samsung un40es6100---0.2
Predicted Answer:samsung un50j6300---0.1
Predicted Answer:lg 55eg9600---0.2
Predicted Answer:sony xbr79x900b---0.5
Predicted Answer:gpx tde1982b---0.2
Predicted Answer:lg 65eg9600---0.2
Predicted Answer:sony xbr55x810c---0.3
Predicted Answer:samsung un40ju6700---0.1
Predicted Answer:samsung un50js7000---0.1
Predicted Answer:sony xbr43x830c---0.3
Predicted Answer:samsung un55hu6840---0.2
Predicted Answer:samsung un55j6200a---0.1
Predicted Answer:samsung un40eh5300---0.2
Predicted Answer:samsung un55hu8500---0.1
Predicted Answer:sony xbr65x810c---0.3
Predicted Answer:sony xbr65x850a---0.6
Predicted Answer:sony xbr49x830c---0.4
Predicted Answer:lg 49uf6400---0.2
Predicted Answer:sony xbr65x850c---0.4
Predicted Answer:sony xbr70x850b---0.3
Predicted Answer:lg 40lf6300---0.1
Predicted Answer:sony xbr55x900c---0.5
Predicted Answer:gpx tde3253b---0.1
Predicted Answer:samsung un65h7150---0.1
Predicted Answer:samsung un65ju7100---0.2
Predicted Answer:vizio d50u-d1---0.2
node0a070eb66556791fe7b91550f1fd3.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un55ju7100f---0.13333333333333333
Predicted Answer:vizio d48-d0---0.13333333333333333
Predicted Answer:samsung un60eh6003---0.13333333333333333
Predicted Answer:samsung un60ju7100---0.2
Predicted Answer:sony xbr65x930c---0.0
Predicted Answer:samsung un50ju7100---0.13333333333333333
Predicted Answer:sony xbr65x930d---0.0
Predicted Answer:sony xbr65x950b---0.13333333333333333
Predicted Answer:vizio d43-c1---0.4666666666666667
Predicted Answer:samsung un55ju6500---0.0
Predicted Answer:gpx te1384b---0.0
Predicted Answer:sony xbr55x800b---0.06666666666666667
Predicted Answer:gpx tde1380b---0.06666666666666667
Predicted Answer:samsung un32eh5300---0.06666666666666667
Predicted Answer:samsung un40ju6400---0.13333333333333333
Predicted Answer:lg 43uf6400---0.06666666666666667
Predicted Answer:gpx tde1384b---0.06666666666666667
Predicted Answer:lg 55eg9100---0.06666666666666667
Predicted Answer:samsung un50eh5300---0.13333333333333333
Predicted Answer:samsung un65h6350---0.06666666666666667
Predicted Answer:samsung un50j5200a---0.0
Predicted Answer:sony xbr65x800b---0.06666666666666667
Predicted Answer:samsung un60js7000---0.06666666666666667
Predicted Answer:samsung un55js8500f---0.06666666666666667
Predicted Answer:vizio d43-d2---0.2
Predicted Answer:sony xbr65x900b---0.06666666666666667
Predicted Answer:sony xbr65x900c---0.06666666666666667
Predicted Answer:samsung un48ju6400---0.13333333333333333
Predicted Answer:sony xbr65hx929---0.0
Predicted Answer:sony xbr55x850d---0.06666666666666667
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.0
Predicted Answer:sony xbr55x850b---0.0
Predicted Answer:samsung un60j6200a---0.06666666666666667
Predicted Answer:samsung un40es6100---0.13333333333333333
Predicted Answer:samsung un50j6300---0.06666666666666667
Predicted Answer:lg 55eg9600---0.13333333333333333
Predicted Answer:sony xbr79x900b---0.13333333333333333
Predicted Answer:gpx tde1982b---0.13333333333333333
Predicted Answer:lg 65eg9600---0.13333333333333333
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.0
Predicted Answer:samsung un50js7000---0.0
Predicted Answer:sony xbr43x830c---0.13333333333333333
Predicted Answer:samsung un55hu6840---0.13333333333333333
Predicted Answer:samsung un55j6200a---0.06666666666666667
Predicted Answer:samsung un40eh5300---0.13333333333333333
Predicted Answer:samsung un55hu8500---0.0
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.13333333333333333
Predicted Answer:sony xbr49x830c---0.13333333333333333
Predicted Answer:lg 49uf6400---0.06666666666666667
Predicted Answer:sony xbr65x850c---0.2
Predicted Answer:sony xbr70x850b---0.06666666666666667
Predicted Answer:lg 40lf6300---0.0
Predicted Answer:sony xbr55x900c---0.0
Predicted Answer:gpx tde3253b---0.06666666666666667
Predicted Answer:samsung un65h7150---0.06666666666666667
Predicted Answer:samsung un65ju7100---0.13333333333333333
Predicted Answer:vizio d50u-d1---0.2
node0eecb6dc71a3d27aa11846cde97550.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un55ju7100f---0.06666666666666667
Predicted Answer:vizio d48-d0---0.06666666666666667
Predicted Answer:samsung un60eh6003---0.06666666666666667
Predicted Answer:samsung un60ju7100---0.13333333333333333
Predicted Answer:sony xbr65x930c---0.06666666666666667
Predicted Answer:samsung un50ju7100---0.06666666666666667
Predicted Answer:sony xbr65x930d---0.0
Predicted Answer:sony xbr65x950b---0.06666666666666667
Predicted Answer:vizio d43-c1---0.4666666666666667
Predicted Answer:samsung un55ju6500---0.06666666666666667
Predicted Answer:gpx te1384b---0.06666666666666667
Predicted Answer:sony xbr55x800b---0.06666666666666667
Predicted Answer:gpx tde1380b---0.0
Predicted Answer:samsung un32eh5300---0.0
Predicted Answer:samsung un40ju6400---0.06666666666666667
Predicted Answer:lg 43uf6400---0.06666666666666667
Predicted Answer:gpx tde1384b---0.0
Predicted Answer:lg 55eg9100---0.06666666666666667
Predicted Answer:samsung un50eh5300---0.06666666666666667
Predicted Answer:samsung un65h6350---0.0
Predicted Answer:samsung un50j5200a---0.0
Predicted Answer:sony xbr65x800b---0.06666666666666667
Predicted Answer:samsung un60js7000---0.06666666666666667
Predicted Answer:samsung un55js8500f---0.06666666666666667
Predicted Answer:vizio d43-d2---0.13333333333333333
Predicted Answer:sony xbr65x900b---0.0
Predicted Answer:sony xbr65x900c---0.06666666666666667
Predicted Answer:samsung un48ju6400---0.06666666666666667
Predicted Answer:sony xbr65hx929---0.0
Predicted Answer:sony xbr55x850d---0.0
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.0
Predicted Answer:sony xbr55x850b---0.06666666666666667
Predicted Answer:samsung un60j6200a---0.0
Predicted Answer:samsung un40es6100---0.06666666666666667
Predicted Answer:samsung un50j6300---0.06666666666666667
Predicted Answer:lg 55eg9600---0.06666666666666667
Predicted Answer:sony xbr79x900b---0.06666666666666667
Predicted Answer:gpx tde1982b---0.06666666666666667
Predicted Answer:lg 65eg9600---0.06666666666666667
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.0
Predicted Answer:samsung un50js7000---0.0
Predicted Answer:sony xbr43x830c---0.06666666666666667
Predicted Answer:samsung un55hu6840---0.06666666666666667
Predicted Answer:samsung un55j6200a---0.0
Predicted Answer:samsung un40eh5300---0.06666666666666667
Predicted Answer:samsung un55hu8500---0.0
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.13333333333333333
Predicted Answer:sony xbr49x830c---0.06666666666666667
Predicted Answer:lg 49uf6400---0.06666666666666667
Predicted Answer:sony xbr65x850c---0.13333333333333333
Predicted Answer:sony xbr70x850b---0.06666666666666667
Predicted Answer:lg 40lf6300---0.0
Predicted Answer:sony xbr55x900c---0.0
Predicted Answer:gpx tde3253b---0.0
Predicted Answer:samsung un65h7150---0.0
Predicted Answer:samsung un65ju7100---0.06666666666666667
Predicted Answer:vizio d50u-d1---0.2
node1041919812be5eb3e353b1894b6e8d5.html
Right Answer:lg 55eg9600
Predicted Answer:samsung un55ju7100f---0.42857142857142855
Predicted Answer:vizio d48-d0---0.14285714285714285
Predicted Answer:samsung un60eh6003---0.14285714285714285
Predicted Answer:samsung un60ju7100---0.42857142857142855
Predicted Answer:sony xbr65x930c---0.42857142857142855
Predicted Answer:samsung un50ju7100---0.5
Predicted Answer:sony xbr65x930d---0.35714285714285715
Predicted Answer:sony xbr65x950b---0.42857142857142855
Predicted Answer:vizio d43-c1---0.07142857142857142
Predicted Answer:samsung un55ju6500---0.5
Predicted Answer:gpx te1384b---0.07142857142857142
Predicted Answer:sony xbr55x800b---0.42857142857142855
Predicted Answer:gpx tde1380b---0.07142857142857142
Predicted Answer:samsung un32eh5300---0.2857142857142857
Predicted Answer:samsung un40ju6400---0.35714285714285715
Predicted Answer:lg 43uf6400---0.5714285714285714
Predicted Answer:gpx tde1384b---0.07142857142857142
Predicted Answer:lg 55eg9100---0.5714285714285714
Predicted Answer:samsung un50eh5300---0.14285714285714285
Predicted Answer:samsung un65h6350---0.14285714285714285
Predicted Answer:samsung un50j5200a---0.14285714285714285
Predicted Answer:sony xbr65x800b---0.35714285714285715
Predicted Answer:samsung un60js7000---0.35714285714285715
Predicted Answer:samsung un55js8500f---0.5714285714285714
Predicted Answer:vizio d43-d2---0.14285714285714285
Predicted Answer:sony xbr65x900b---0.5
Predicted Answer:sony xbr65x900c---0.2857142857142857
Predicted Answer:samsung un48ju6400---0.35714285714285715
Predicted Answer:sony xbr65hx929---0.14285714285714285
Predicted Answer:sony xbr55x850d---0.5714285714285714
Predicted Answer:sony xbr55x850c---0.2857142857142857
Predicted Answer:samsung un55js9000f---0.5
Predicted Answer:sony xbr55x850b---0.21428571428571427
Predicted Answer:samsung un60j6200a---0.14285714285714285
Predicted Answer:samsung un40es6100---0.14285714285714285
Predicted Answer:samsung un50j6300---0.14285714285714285
Predicted Answer:lg 55eg9600---0.7857142857142857
Predicted Answer:sony xbr79x900b---0.5
Predicted Answer:gpx tde1982b---0.14285714285714285
Predicted Answer:lg 65eg9600---0.6428571428571429
Predicted Answer:sony xbr55x810c---0.42857142857142855
Predicted Answer:samsung un40ju6700---0.35714285714285715
